drug_name,drug_ingredient,drug_category,food_name,food_category,risk_level,interaction_mechanism,clinical_effect,recommendation,alternative_food,source
와파린,와파린나트륨,항응고제,낫토,발효식품,danger,낫토의 높은 비타민K가 와파린의 항응고 작용을 방해,혈전 형성 위험 증가/INR 수치 급격히 감소,낫토 섭취를 완전히 피하세요,두부/순두부,식약처 DUR
와파린,와파린나트륨,항응고제,시금치,녹색채소,warning,시금치의 비타민K가 와파린의 항응고 작용을 감소시킴,INR 수치 변동으로 출혈 또는 혈전 위험,일정한 양을 규칙적으로 섭취하고 급격한 섭취량 변화 피하기,양배추/당근,식약처 DUR
와파린,와파린나트륨,항응고제,브로콜리,녹색채소,warning,브로콜리의 비타민K가 와파린의 항응고 작용을 감소시킴,INR 수치 변동으로 출혈 또는 혈전 위험,일정한 양을 규칙적으로 섭취하고 급격한 섭취량 변화 피하기,콩나물/숙주,식약처 DUR
와파린,와파린나트륨,항응고제,케일,녹색채소,warning,케일의 높은 비타민K가 와파린의 항응고 작용을 감소시킴,INR 수치 변동으로 출혈 또는 혈전 위험,소량만 섭취하거나 피하세요,양상추/오이,식약처 DUR
와파린,와파린나트륨,항응고제,녹차,차류,caution,녹차의 비타민K가 와파린 효과에 영향,INR 수치 변동 가능,하루 1-2잔으로 제한하고 일정하게 유지,보리차/옥수수차,약학정보원
와파린,와파린나트륨,항응고제,크랜베리주스,음료,warning,크랜베리가 와파린 대사를 억제하여 출혈 위험 증가,INR 수치 상승으로 출혈 위험 증가,크랜베리주스 섭취를 피하거나 최소화하세요,사과주스/포도주스,FDA Drug Interactions Guide
와파린,와파린나트륨,항응고제,마늘,향신료,caution,마늘이 항응고 작용을 강화시킬 수 있음,출혈 위험 약간 증가,조리용 소량은 괜찮으나 마늘 보충제는 피하세요,-,PubMed Research
와파린,와파린나트륨,항응고제,술,알코올,warning,알코올이 와파린 대사에 영향을 미쳐 효과 변동,급성 음주시 INR 상승/만성 음주시 INR 감소,음주를 피하거나 최소화하세요,무알코올 음료,식약처 DUR
메트포르민,메트포르민염산염,당뇨병치료제,술,알코올,danger,알코올이 젖산 축적을 촉진하여 젖산산증 위험 증가,심각한 젖산산증으로 생명 위협 가능,음주를 완전히 피하세요,무알코올 음료,FDA Drug Interactions Guide
메트포르민,메트포르민염산염,당뇨병치료제,맥주,알코올,danger,알코올이 젖산 축적을 촉진하여 젖산산증 위험 증가,심각한 젖산산증으로 생명 위협 가능,맥주를 포함한 모든 알코올 음료를 피하세요,무알코올 맥주,FDA Drug Interactions Guide
메트포르민,메트포르민염산염,당뇨병치료제,자몽,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
메트포르민,메트포르민염산염,당뇨병치료제,우유,유제품,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
메트포르민,메트포르민염산염,당뇨병치료제,고당분음식,당분,caution,고당분 섭취가 혈당 조절을 어렵게 함,약물의 혈당 강하 효과 감소,당분 섭취를 제한하세요,저당 과일/채소,약학정보원
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),자몽,과일,caution,자몽이 CYP3A4를 억제하나 로수바스타틴은 영향 적음,다른 스타틴보다 영향 적으나 주의 필요,대량 섭취는 피하고 적정량 유지,오렌지/사과,DrugBank
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),자몽주스,음료,caution,자몽이 CYP3A4를 억제하나 로수바스타틴은 영향 적음,다른 스타틴보다 영향 적으나 주의 필요,하루 200ml 이하로 제한,오렌지주스/사과주스,DrugBank
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),술,알코올,warning,알코올이 간 기능에 부담을 주어 근육 손상 위험 증가,근육통/횡문근융해증 위험 증가,음주를 피하거나 최소화하세요,무알코올 음료,약학정보원
로수바스타틴,로수바스타틴칼슘,스타틴(고지혈증약),오트밀,곡물,safe,알려진 상호작용 없음/콜레스테롤 저하에 도움,해당 없음,안심하고 드셔도 됩니다. 오히려 권장됩니다.,-,DrugBank
심바스타틴,심바스타틴,스타틴(고지혈증약),자몽,과일,danger,자몽의 푸라노쿠마린이 CYP3A4를 억제하여 약물 농도 급상승,횡문근융해증/근육 손상/신장 손상 위험,자몽 및 자몽주스를 완전히 피하세요,오렌지/사과/배,FDA Drug Interactions Guide
심바스타틴,심바스타틴,스타틴(고지혈증약),자몽주스,음료,danger,자몽의 푸라노쿠마린이 CYP3A4를 억제하여 약물 농도 급상승,횡문근융해증/근육 손상/신장 손상 위험,자몽주스를 완전히 피하세요,오렌지주스/사과주스,FDA Drug Interactions Guide
심바스타틴,심바스타틴,스타틴(고지혈증약),술,알코올,warning,알코올이 간 독성을 증가시킴,간 손상/근육 손상 위험 증가,음주를 피하거나 최소화하세요,무알코올 음료,약학정보원
아토르바스타틴,아토르바스타틴칼슘,스타틴(고지혈증약),자몽,과일,warning,자몽이 CYP3A4를 억제하여 약물 농도 상승,근육통/횡문근융해증 위험 증가,자몽 섭취를 최소화하거나 피하세요,오렌지/사과,FDA Drug Interactions Guide
아토르바스타틴,아토르바스타틴칼슘,스타틴(고지혈증약),자몽주스,음료,warning,자몽이 CYP3A4를 억제하여 약물 농도 상승,근육통/횡문근융해증 위험 증가,자몽주스를 피하세요,오렌지주스/사과주스,FDA Drug Interactions Guide
아스피린,아세틸살리실산,해열진통소염제,술,알코올,danger,알코올과 아스피린 모두 위장 점막 손상 유발,위장 출혈 위험 현저히 증가,음주 시 아스피린 복용을 피하세요,무알코올 음료,FDA Drug Interactions Guide
아스피린,아세틸살리실산,해열진통소염제,맥주,알코올,danger,알코올과 아스피린 모두 위장 점막 손상 유발,위장 출혈 위험 현저히 증가,맥주 섭취 시 아스피린 복용을 피하세요,무알코올 맥주,FDA Drug Interactions Guide
아스피린,아세틸살리실산,해열진통소염제,오렌지주스,음료,caution,산성 음료가 위장 자극을 증가시킬 수 있음,위장 불편감 가능,식후에 복용하고 물과 함께 섭취,우유/물,약학정보원
오메프라졸,오메프라졸,위산분비억제제,커피,카페인음료,caution,커피가 위산 분비를 촉진할 수 있음,약물의 위산 억제 효과 감소 가능,커피 섭취를 제한하세요,디카페인 커피/보리차,약학정보원
오메프라졸,오메프라졸,위산분비억제제,술,알코올,warning,알코올이 위산 분비를 촉진하고 위점막 손상,약물의 위산 억제 효과 감소/위장 손상,음주를 피하세요,무알코올 음료,약학정보원
오메프라졸,오메프라졸,위산분비억제제,우유,유제품,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
레보티록신,레보티록신나트륨,갑상선호르몬제,두유,콩제품,warning,콩의 이소플라본이 레보티록신 흡수를 방해,갑상선 호르몬 흡수 감소로 치료 효과 저하,약 복용 후 4시간 이상 간격을 두고 섭취,우유,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,두부,콩제품,caution,콩의 이소플라본이 레보티록신 흡수에 영향,갑상선 호르몬 흡수 감소 가능,약 복용과 식사 간격을 4시간 이상 유지,고기/생선,약학정보원
레보티록신,레보티록신나트륨,갑상선호르몬제,커피,카페인음료,warning,커피가 레보티록신 흡수를 30% 이상 감소시킴,갑상선 호르몬 흡수 저하로 치료 효과 감소,약 복용 후 1시간 이상 후에 커피 섭취,물,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,우유,유제품,warning,칼슘이 레보티록신 흡수를 방해,갑상선 호르몬 흡수 감소,약 복용 후 4시간 이상 간격을 두고 섭취,물,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,칼슘보충제,보충제,danger,칼슘이 레보티록신과 결합하여 흡수 차단,갑상선 호르몬 흡수 심각하게 저하,약 복용 후 4시간 이상 간격을 두고 섭취,-,FDA Drug Interactions Guide
레보티록신,레보티록신나트륨,갑상선호르몬제,철분제,보충제,danger,철분이 레보티록신과 결합하여 흡수 차단,갑상선 호르몬 흡수 심각하게 저하,약 복용 후 4시간 이상 간격을 두고 섭취,-,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,우유,유제품,danger,칼슘이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 유제품 피하기,물/주스,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,치즈,유제품,danger,칼슘이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 유제품 피하기,물/주스,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,요거트,유제품,danger,칼슘이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 유제품 피하기,물/주스,FDA Drug Interactions Guide
테트라사이클린,테트라사이클린염산염,항생제,철분제,보충제,danger,철분이 테트라사이클린과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 2시간 동안 철분제 피하기,-,FDA Drug Interactions Guide
시프로플록사신,시프로플록사신염산염,항생제(퀴놀론계),우유,유제품,warning,칼슘이 시프로플록사신 흡수를 감소시킴,항생제 효과 감소,약 복용 전후 2시간 동안 유제품 피하기,물,FDA Drug Interactions Guide
시프로플록사신,시프로플록사신염산염,항생제(퀴놀론계),칼슘보충제,보충제,danger,칼슘이 시프로플록사신과 결합하여 흡수 차단,항생제 효과 현저히 감소,약 복용 전후 6시간 동안 칼슘보충제 피하기,-,FDA Drug Interactions Guide
시프로플록사신,시프로플록사신염산염,항생제(퀴놀론계),커피,카페인음료,warning,시프로플록사신이 카페인 대사를 억제,카페인 부작용(불안/불면/심계항진) 증가,카페인 섭취를 줄이세요,디카페인 커피/허브차,FDA Drug Interactions Guide
메트로니다졸,메트로니다졸,항생제/항원충제,술,알코올,danger,메트로니다졸이 알코올 대사를 차단(디설피람 유사 반응),심한 구역/구토/두통/홍조/심계항진,약 복용 중 및 복용 후 48시간 동안 금주,무알코올 음료,FDA Drug Interactions Guide
메트로니다졸,메트로니다졸,항생제/항원충제,맥주,알코올,danger,메트로니다졸이 알코올 대사를 차단(디설피람 유사 반응),심한 구역/구토/두통/홍조/심계항진,약 복용 중 및 복용 후 48시간 동안 금주,무알코올 맥주,FDA Drug Interactions Guide
메트로니다졸,메트로니다졸,항생제/항원충제,와인,알코올,danger,메트로니다졸이 알코올 대사를 차단(디설피람 유사 반응),심한 구역/구토/두통/홍조/심계항진,약 복용 중 및 복용 후 48시간 동안 금주,무알코올 와인/포도주스,FDA Drug Interactions Guide
이부프로펜,이부프로펜,해열진통소염제,술,알코올,warning,알코올과 이부프로펜 모두 위장 점막 손상,위장 출혈 위험 증가,음주 시 이부프로펜 복용 피하기,무알코올 음료,FDA Drug Interactions Guide
이부프로펜,이부프로펜,해열진통소염제,커피,카페인음료,caution,카페인이 위장 자극을 증가시킬 수 있음,위장 불편감 가능,식후에 복용하세요,물/우유,약학정보원
리튬,탄산리튬,기분안정제,소금,나트륨,warning,나트륨 섭취 변화가 리튬 농도에 영향,저나트륨시 리튬 독성 위험/고나트륨시 효과 감소,일정한 소금 섭취량 유지,저염식 주의,FDA Drug Interactions Guide
리튬,탄산리튬,기분안정제,커피,카페인음료,caution,카페인이 리튬 배설을 증가시킬 수 있음,리튬 농도 감소 가능,카페인 섭취량을 일정하게 유지,디카페인 커피,약학정보원
디곡신,디곡신,강심제,감초,한약재,danger,감초가 저칼륨혈증을 유발하여 디곡신 독성 증가,심장 부정맥/디곡신 독성 위험,감초 및 감초 함유 제품 피하기,-,FDA Drug Interactions Guide
디곡신,디곡신,강심제,고섬유질식품,섬유질,caution,고섬유질이 디곡신 흡수를 감소시킬 수 있음,약물 효과 감소 가능,섬유질 섭취와 약 복용 시간 분리,-,약학정보원
펠로디핀,펠로디핀,칼슘채널차단제(혈압약),자몽,과일,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제,혈중 약물 농도 3배 이상 상승 가능,자몽 및 자몽주스 완전히 피하기,오렌지/사과,FDA Drug Interactions Guide
펠로디핀,펠로디핀,칼슘채널차단제(혈압약),자몽주스,음료,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제,혈중 약물 농도 3배 이상 상승 가능,자몽주스 완전히 피하기,오렌지주스/사과주스,FDA Drug Interactions Guide
사이클로스포린,사이클로스포린,면역억제제,자몽,과일,danger,자몽이 CYP3A4를 억제하여 약물 농도 급상승,면역억제제 독성/신장 손상 위험,자몽 및 자몽주스 완전히 피하기,오렌지/사과,FDA Drug Interactions Guide
사이클로스포린,사이클로스포린,면역억제제,자몽주스,음료,danger,자몽이 CYP3A4를 억제하여 약물 농도 급상승,면역억제제 독성/신장 손상 위험,자몽주스 완전히 피하기,오렌지주스/사과주스,FDA Drug Interactions Guide
타크로리무스,타크로리무스,면역억제제,자몽,과일,danger,자몽이 CYP3A4를 억제하여 약물 농도 상승,면역억제제 독성/신장 손상 위험,자몽 및 자몽주스 완전히 피하기,오렌지/사과,FDA Drug Interactions Guide
타크로리무스,타크로리무스,면역억제제,자몽주스,음료,danger,자몽이 CYP3A4를 억제하여 약물 농도 상승,면역억제제 독성/신장 손상 위험,자몽주스 완전히 피하기,오렌지주스/사과주스,FDA Drug Interactions Guide
클로피도그렐,클로피도그렐,항혈소판제,자몽,과일,caution,자몽이 CYP2C19를 억제하여 활성 대사물 감소,항혈소판 효과 감소 가능,자몽 섭취 최소화,오렌지/사과,DrugBank
MAO억제제,페넬진/트라닐시프로민,항우울제,치즈,발효식품,danger,치즈의 티라민이 MAO억제제와 상호작용,고혈압 위기(두통/구역/혈압급상승),숙성 치즈 완전히 피하기,신선한 치즈(코티지치즈),FDA Drug Interactions Guide
MAO억제제,페넬진/트라닐시프로민,항우울제,와인,알코올,danger,와인의 티라민이 MAO억제제와 상호작용,고혈압 위기(두통/구역/혈압급상승),와인 및 발효 알코올 음료 피하기,물/주스,FDA Drug Interactions Guide
MAO억제제,페넬진/트라닐시프로민,항우울제,간장,발효식품,danger,간장의 티라민이 MAO억제제와 상호작용,고혈압 위기,간장 및 발효 소스 피하기,소금,FDA Drug Interactions Guide
프로프라놀롤,프로프라놀롤염산염,베타차단제(혈압약),고단백식사,단백질,caution,고단백 식사가 프로프라놀롤 흡수를 증가시킴,약물 효과 증가 가능,일정한 식사 패턴 유지,-,약학정보원
프로프라놀롤,프로프라놀롤염산염,베타차단제(혈압약),자몽주스,음료,caution,자몽이 CYP효소에 영향,약물 농도 변동 가능,자몽주스 섭취 최소화,오렌지주스,DrugBank
칼륨보존이뇨제,스피로노락톤,이뇨제,바나나,과일,warning,바나나의 높은 칼륨이 고칼륨혈증 위험 증가,심장 부정맥/근육 약화 위험,칼륨 풍부 식품 과다 섭취 주의,사과/배,약학정보원
칼륨보존이뇨제,스피로노락톤,이뇨제,오렌지주스,음료,warning,오렌지주스의 칼륨이 고칼륨혈증 위험 증가,심장 부정맥/근육 약화 위험,칼륨 풍부 음료 과다 섭취 주의,사과주스,약학정보원
칼륨보존이뇨제,스피로노락톤,이뇨제,소금대체제,조미료,danger,소금대체제의 염화칼륨이 고칼륨혈증 유발,심각한 심장 부정맥 위험,소금대체제 사용 금지,일반 소금(소량),FDA Drug Interactions Guide
아네모정,불명,불명,나트륨 제한 식이,식이 제한,주의,약물 성분(나트륨 함유 가능성) 또는 약물의 작용이 체내 나트륨 균형에 영향을 미칠 수 있음,나트륨 제한 식이를 하는 환자에게 부적절하거나 나트륨 수치에 영향을 줄 수 있음,이 약을 복용하기 전에 의사 또는 약사와 반드시 상의하십시오.,-,K-Pharm API (AI Processed)
페니라민정(클로르페니라민말레산염),클로르페니라민말레산염,항히스타민제,알코올,주류,경고,중추신경 억제 작용 상승,"졸음, 진정 작용 심화 및 주의력 저하",복용 기간 동안 알코올 섭취를 피하거나 전문가와 상의하십시오.,-,K-Pharm API (AI Processed)
게루삼정,미상,미상,고나트륨 식품,식이 제한 (나트륨 제한 식이),경고,약물 내 나트륨 성분 함유 가능성 또는 나트륨 대사에 영향 (Potential sodium content in the drug or effect on sodium metabolism),나트륨 과부하 및 관련 합병증 위험 증가 (Increased risk of sodium overload and related complications),나트륨 제한 식이를 하는 사람은 복용 전 반드시 의사 또는 약사와 상의해야 함 (Individuals on a sodium-restricted diet must consult a doctor or pharmacist before taking),-,K-Pharm API (AI Processed)
판콜에이내복액,아세트아미노펜 (추정),감기약/해열진통제,알코올,주류,위험,알코올은 아세트아미노펜의 간 대사를 촉진하여 독성 대사산물 생성을 증가시키고 간 손상 위험을 높입니다.,간 손상 (간독성),복용 중에는 절대 음주하지 마십시오. 매일 세 잔 이상 정기적으로 음주하는 경우 복용 전 반드시 의사 또는 약사와 상의하십시오.,-,K-Pharm API (AI Processed)
코푸시럽에스,미상,미상,알코올,주류,위험,중추신경계 억제 효과 증강 (Enhanced CNS depressant effect),"졸음, 진정 작용 증가 및 호흡 억제 위험 증가 (Increased drowsiness, sedation, and risk of respiratory depression)",복용 중 음주를 절대 금지합니다. (Absolutely prohibit drinking alcohol during administration),-,K-Pharm API (AI Processed)
코푸시럽에스,미상,미상,카라멜,식품 첨가물,주의,과민 반응 유발 (Induction of hypersensitivity reaction),알레르기 증상 (Allergic symptoms),카라멜 과민증 환자는 복용 전 의사 또는 약사와 반드시 상의하십시오. (Patients with caramel hypersensitivity must consult a doctor or pharmacist before taking),-,K-Pharm API (AI Processed)
액티피드정,미상,미상,알코올,주류,위험,알코올은 이 약의 중추신경 억제 작용을 증강시켜 부작용 위험을 높일 수 있습니다.,"과도한 졸음, 진정 작용 증가, 판단력 및 운동 능력 저하 (운전 및 기계 조작 위험 증가)",이 약을 복용하는 동안 알코올 섭취를 피하십시오.,-,K-Pharm API (AI Processed)
보나링에이정(디멘히드리네이트),Unknown,Unknown,알코올 (주류),주류,danger,중추신경 억제 효과 상승,"졸음, 진정 작용 등 중추신경계 부작용 증가",복용 중에는 음주를 금지해야 합니다.,-,K-Pharm API (AI Processed)
보나링에이정(디멘히드리네이트),Unknown,Unknown,유당/갈락토오스 함유 식품 (예: 유제품),유제품 및 특정 당류,danger,약물 부형제(유당)에 대한 유전적 대사 장애,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 환자에게 소화기계 부작용 유발 및 약물 복용 불가",해당 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.,-,K-Pharm API (AI Processed)
키모랄에스정,Unknown,Unknown,유당/갈락토오스 함유 부형제 (Lactose/Galactose containing excipient),유제품/당류 (Dairy/Sugars),위험 (danger),약물에 포함된 유당 또는 갈락토오스 성분이 유전적인 효소 결핍(예: Lapp 유당분해효소 결핍증) 환자에게 대사 장애를 일으킴. (The lactose or galactose component in the drug causes metabolic disorders in patients with genetic enzyme deficiencies.),"갈락토오스 불내성, 유당분해효소 결핍증, 포도당-갈락토오스 흡수장애 등의 증상 악화 및 부작용 발생. (Worsening of symptoms related to galactose intolerance, lactase deficiency, or glucose-galactose malabsorption.)","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 말아야 함. (Patients with these hereditary problems must not take this drug.)",-,K-Pharm API (AI Processed)
뇌선,미상 (Unknown),미상 (Unknown),공복 (Empty Stomach),복용 조건 (Administration Condition),caution,위장 장애 또는 흡수 문제 방지 (Prevention of GI upset or absorption issues),위장 불편감 최소화 (Minimizing gastrointestinal discomfort),공복 시를 피하여 복용 (Avoid taking on an empty stomach),음식물과 함께 복용하거나 식후 복용 (Take with food or after meals),K-Pharm API (AI Processed)
뇌선,미상 (Unknown),미상 (Unknown),알코올 (Alcohol),주류 (Alcoholic Beverage),danger,간 대사 경로 경쟁 및 독성 증가 (Competition in liver metabolic pathways and increased toxicity),간 손상 위험 증가 (Increased risk of liver damage),복용 중에는 음주하지 마십시오 (Do not consume alcohol during treatment),-,K-Pharm API (AI Processed)
뇌선,미상 (Unknown),미상 (Unknown),알코올 (Alcohol),주류 (Alcoholic Beverage),warning,만성적인 알코올 섭취로 인한 간 독성 민감도 증가 (Increased sensitivity to hepatotoxicity due to chronic alcohol consumption),간 손상 위험 증가 (Increased risk of liver damage),매일 세 잔 이상 정기적 음주자는 복용 전 의사 또는 약사와 상의하십시오 (Regular drinkers of three or more glasses daily must consult a doctor or pharmacist before taking),-,K-Pharm API (AI Processed)
마그밀정(수산화마그네슘),수산화마그네슘,제산제/완하제,우유 (다량),유제품,경고,마그네슘 제산제와 우유(칼슘)의 상호작용으로 인한 알칼리 부하 증가,"우유 알칼리 증후군 (고칼슘혈증, 고질소혈증, 알칼리증 등) 발생 위험",다량의 우유와 함께 복용 시 의사 또는 약사와 상의하십시오.,-,K-Pharm API (AI Processed)
트레스탄캡슐,정보 없음,정보 없음,알코올,주류,위험,"알코올은 중추신경억제제이며, 이 약과 병용 시 중추신경 억제 효과가 증강될 수 있음.","졸음, 진정, 호흡 억제 등 중추신경계 부작용 증가",함께 복용하지 마십시오.,-,K-Pharm API (AI Processed)
낙센정(나프록센),나프록센,비스테로이드성 소염진통제 (NSAID),술 (알코올),주류,경고,알코올과 NSAID 복용은 위장관 점막 손상을 가중시켜 출혈 위험을 높입니다.,위장출혈 위험 증가,"매일 세 잔 이상 정기적으로 음주하는 경우, 복용 전 의사 또는 약사와 상의하십시오.",-,K-Pharm API (AI Processed)
액티피드시럽,성분 불명,불명,알코올,주류,위험,알코올은 중추신경억제제와 유사하게 작용하여 약물의 진정 작용을 증강시키거나 부작용 위험을 높일 수 있음,"과도한 졸음, 진정 작용 심화, 판단력 및 운동 능력 저하 (운전 및 기계 조작 시 위험 증가)",함께 복용하지 마십시오,-,K-Pharm API (AI Processed)
페리나정,미상,미상,알코올성 음료,주류,경고,"약물 상호작용 목록에 중추신경억제제와 함께 언급되며, 알코올 섭취 시 약물의 부작용(졸음 등)이 증강될 수 있음 (추정)","졸음, 진정 작용 등 중추신경계 부작용 증가 및 운전/기계 조작 시 위험 증가",이 약을 복용 중에는 알코올성 음료를 피하십시오.,-,K-Pharm API (AI Processed)
신일비사코딜정,Unknown,Unknown,우유,유제품,경고,우유는 위산도를 낮춰 장용 코팅된 정제가 위에서 조기에 용해되게 하여 약물의 효과를 감소시키거나 위장 자극을 유발할 수 있습니다.,"위장 자극 (복통, 구토) 및 약효 감소",우유 섭취 후 1시간 이내에는 이 약을 복용하지 마십시오. 최소 1시간 이상의 간격을 두고 복용해야 합니다.,-,K-Pharm API (AI Processed)
갈타제산(베타-갈락토시다제(아스퍼길루스)),베타-갈락토시다제,소화효소제,50℃를 초과하는 고온의 분유 또는 모유,유제품/액상 영양식,caution,"베타-갈락토시다제는 효소이므로, 50℃를 초과하는 고온에서 조제 시 효소가 변성되어 약물의 활성이 저하될 수 있습니다.",유당 분해 효과 감소 또는 상실로 인한 약효 저하,분유 또는 모유에 약물을 혼합할 때 조유 온도가 50℃를 넘지 않도록 주의해야 합니다.,-,K-Pharm API (AI Processed)
액티페린정,알 수 없음,알 수 없음,알코올,주류,위험,중추신경계 억제 효과 또는 부작용 위험 증가 (정확한 기전은 정보 부족으로 알 수 없음),"졸음 및 진정 효과 증가, 판단력 저하, 심혈관계 부작용 위험 증가",알코올과 함께 복용하지 마십시오.,-,K-Pharm API (AI Processed)
부루펜정200밀리그램(이부프로펜),이부프로펜,비스테로이드성 소염진통제,음주,주류,경고,이부프로펜과 알코올 모두 위장관 점막에 자극을 주어 출혈 위험을 높일 수 있음.,위장출혈 위험 증가,매일 세 잔 이상 정기적으로 음주하는 경우 복용 전 의사 또는 약사와 상의하십시오.,-,K-Pharm API (AI Processed)
메코민캡슐(메코발라민),메코발라민,비타민 B12 제제,알코올 (과량),주류,경고,알코올은 비타민 B12의 흡수 및 대사를 저해할 수 있습니다.,약효 감소 또는 비타민 B12 결핍 악화 가능성,과량의 알코올 섭취를 피하고 의사 또는 약사와 상의하십시오.,-,K-Pharm API (AI Processed)
마스질정(클레마스틴푸마르산염),클레마스틴푸마르산염,항히스타민제,알코올,주류,warning,중추신경 억제 효과 증강,"졸음, 진정 작용 증가, 주의력 및 판단력 저하",복용 전 의사 또는 약사와 상의하십시오 (가능하면 피하십시오),-,K-Pharm API (AI Processed)
모드코시럽,미상,미상,알코올,주류,경고,중추신경 억제 효과 증강 (시럽 성분 중 항히스타민제 등 중추신경계에 작용하는 성분과의 상호작용),"졸음, 진정 작용 증가 및 부작용 위험 증가 (운전 및 기계 조작 시 위험 증가)",함께 복용하지 마십시오,-,K-Pharm API (AI Processed)
애드빌정(이부프로펜),이부프로펜,비스테로이드성 소염진통제 (NSAID),공복 (Empty Stomach),복용 조건 (Administration Condition),주의 (caution),위장관 자극 최소화 (Minimizing gastrointestinal irritation),"위장관 부작용(예: 속쓰림, 궤양) 위험 감소 (Reduced risk of GI side effects (e.g., heartburn, ulcer))",공복 투여를 피하고 음식 또는 우유와 함께 복용하는 것이 바람직함 (It is advisable to avoid taking on an empty stomach and take with food or milk.),식사 또는 우유 (Meal or Milk),K-Pharm API (AI Processed)
